date,Albania,Bosnia and Herzegovina,Kosovo,North Macedonia,Montenegro,Serbia
2021-01-08,,,,,,
2021-01-09,,,,,,
2021-01-10,,,,,,
2021-01-11,,,,,,
2021-01-12,,,,,,
2021-01-13,,,,,,
2021-01-14,,,,,,
2021-01-15,,,,,,
2021-01-16,,,,,,
2021-01-17,,,,,,
2021-01-18,,,,,,
2021-01-19,,,,,,
2021-01-20,,,,,,
2021-01-21,,,,,,
2021-01-22,,,,,,
2021-01-23,,,,,,
2021-01-24,,,,,,
2021-01-25,,,,,,
2021-01-26,,,,,,
2021-01-27,,,,,,
2021-01-28,,,,,,
2021-01-29,,,,,,
2021-01-30,,,,,,
2021-01-31,,,,,,
2021-02-01,,,,,,
2021-02-02,0.0,,,,,
2021-02-03,,,,,,
2021-02-04,,,,,,
2021-02-05,,,,,,
2021-02-06,,,,,,
2021-02-07,,,,,,
2021-02-08,,,,,,
2021-02-09,0.02,,,,,
2021-02-10,,,,,,0.7
2021-02-11,,,,,,
2021-02-12,,,,,,1.85
2021-02-13,,,,,,
2021-02-14,,,,,,2.67
2021-02-15,,,,,,
2021-02-16,,,,,,
2021-02-17,0.02,,,,,
2021-02-18,0.02,,,,,
2021-02-19,,,,,,
2021-02-20,,,,,,
2021-02-21,,,,,,
2021-02-22,0.02,,,,,
2021-02-23,,,,,,6.95
2021-02-24,,,,,,7.16
2021-02-25,,,,,,7.31
2021-02-26,,,,,,7.45
2021-02-27,,,,,,7.52
2021-02-28,,,,,,7.52
2021-03-01,,,,,,7.7
2021-03-02,,,,,,7.8
2021-03-03,,,,,,7.86
2021-03-04,,,,,,8.29
2021-03-05,,,,,,8.72
2021-03-06,,,,,,9.11
2021-03-07,,,,,,9.12
2021-03-08,,,,,,9.16
2021-03-09,,,,,,9.2
2021-03-10,,,,,,9.51
2021-03-11,,,,,,9.79
2021-03-12,,,,,,10.3
2021-03-13,,,,,,10.86
2021-03-14,,,,,,11.5
2021-03-15,,,,,,11.63
2021-03-16,,,,,,11.67
2021-03-17,,,,,,11.89
2021-03-18,,,,,,12.15
2021-03-19,,,,,0.05,12.61
2021-03-20,,,,,0.07,12.62
2021-03-21,,,,,,12.67
2021-03-22,,,,,,12.71
2021-03-23,,,,,0.09,12.88
2021-03-24,,,,,0.14,13.28
2021-03-25,,,,,0.17,
2021-03-26,,,,,0.21,13.47
2021-03-27,,,,,0.25,
2021-03-28,,,,,0.33,13.51
2021-03-29,,,,,0.38,
2021-03-30,,,,,0.39,14.78
2021-03-31,,,,,0.52,14.92
2021-04-01,,,,,0.54,15.25
2021-04-02,,,,,0.61,15.63
2021-04-03,,,,,0.64,
2021-04-04,,,,,0.67,16.03
2021-04-05,,,,,0.71,16.35
2021-04-06,,,,,0.75,16.47
2021-04-07,,,,,0.82,16.68
2021-04-08,,,,,0.86,
2021-04-09,,,,,0.9,17.03
2021-04-10,,,,,0.97,17.14
2021-04-11,,,,,1.08,
2021-04-12,,,,,1.08,
2021-04-13,,,,,1.36,
2021-04-14,,0.31,,,1.63,17.66
2021-04-15,,,,,1.93,17.83
2021-04-16,,,,,2.12,17.94
2021-04-17,,,,,2.31,18.04
2021-04-18,,,,,2.59,18.21
2021-04-19,,,,,2.72,
2021-04-20,,,,,2.83,
2021-04-21,,,,,2.95,18.63
2021-04-22,,,,,3.03,18.88
2021-04-23,,,,,3.1,19.0
2021-04-24,,0.37,,,3.17,19.23
2021-04-25,,,,,3.23,
2021-04-26,,,,,3.24,19.4
2021-04-27,,,,,3.25,
2021-04-28,,,,,3.26,20.65
2021-04-29,,,,,3.3,
2021-04-30,,,,,3.44,21.87
2021-05-01,,0.75,,,3.64,22.01
2021-05-02,,,,,,22.02
2021-05-03,,,,,3.75,
2021-05-04,,,,,3.93,
2021-05-05,,,,,4.42,23.82
